city,state_id,state_code
Bamboo Flat,4023,AN
Nicobar,4023,AN
Port Blair,4023,AN
South Andaman,4023,AN
Addanki,4017,AP
Adoni,4017,AP
Akasahebpet,4017,AP
Akividu,4017,AP
Akkarampalle,4017,AP
Amalapuram,4017,AP
Amudalavalasa,4017,AP
Anakapalle,4017,AP
Anantapur,4017,AP
Atmakur,4017,AP
Attili,4017,AP
Avanigadda,4017,AP
Badvel,4017,AP
Banganapalle,4017,AP
Bapatla,4017,AP
Betamcherla,4017,AP
Bhattiprolu,4017,AP
Bhimavaram,4017,AP
Bhimunipatnam,4017,AP
Bobbili,4017,AP
Challapalle,4017,AP
Chemmumiahpet,4017,AP
Chilakalurupet,4017,AP
Chinnachowk,4017,AP
Chipurupalle,4017,AP
Chirala,4017,AP
Chittoor,4017,AP
Chodavaram,4017,AP
Cuddapah,4017,AP
Cumbum,4017,AP
Darsi,4017,AP
Dharmavaram,4017,AP
Dhone,4017,AP
Diguvametta,4017,AP
East Godavari,4017,AP
Elamanchili,4017,AP
Ellore,4017,AP
Emmiganur,4017,AP
Erraguntla,4017,AP
Etikoppaka,4017,AP
Gajuwaka,4017,AP
Ganguvada,4017,AP
Gannavaram,4017,AP
Giddalur,4017,AP
Gokavaram,4017,AP
Gorantla,4017,AP
GovindapuramChilakaluripetGuntur,4017,AP
Gudivada,4017,AP
Gudlavalleru,4017,AP
Gudur,4017,AP
Guntakal Junction,4017,AP
Guntur,4017,AP
Hindupur,4017,AP
Ichchapuram,4017,AP
Jaggayyapeta,4017,AP
Jammalamadugu,4017,AP
Kadiri,4017,AP
Kaikalur,4017,AP
Kakinada,4017,AP
Kalyandurg,4017,AP
Kamalapuram,4017,AP
Kandukur,4017,AP
Kanigiri,4017,AP
Kankipadu,4017,AP
Kanuru,4017,AP
Kavali,4017,AP
Kolanukonda,4017,AP
Kondapalle,4017,AP
Korukollu,4017,AP
Kosigi,4017,AP
Kovvur,4017,AP
Krishna,4017,AP
Kuppam,4017,AP
Kurnool,4017,AP
Macherla,4017,AP
Machilipatnam,4017,AP
Madanapalle,4017,AP
Madugula,4017,AP
Mandapeta,4017,AP
Mandasa,4017,AP
Mangalagiri,4017,AP
Markapur,4017,AP
Nagari,4017,AP
Nagireddipalli,4017,AP
Nandigama,4017,AP
Nandikotkur,4017,AP
Nandyal,4017,AP
Narasannapeta,4017,AP
Narasapur,4017,AP
Narasaraopet,4017,AP
Narasingapuram,4017,AP
Narayanavanam,4017,AP
Narsipatnam,4017,AP
Nayudupet,4017,AP
Nellore,4017,AP
Nidadavole,4017,AP
Nuzvid,4017,AP
Ongole,4017,AP
Pakala,4017,AP
Palakollu,4017,AP
Palasa,4017,AP
Palkonda,4017,AP
Pallevada,4017,AP
Palmaner,4017,AP
Parlakimidi,4017,AP
Parvatipuram,4017,AP
Pavuluru,4017,AP
Pedana,4017,AP
pedda nakkalapalem,4017,AP
Peddapuram,4017,AP
Penugonda,4017,AP
Penukonda,4017,AP
Phirangipuram,4017,AP
Pippara,4017,AP
Pithapuram,4017,AP
Polavaram,4017,AP
Ponnur,4017,AP
Ponnuru,4017,AP
Prakasam,4017,AP
Proddatur,4017,AP
Pulivendla,4017,AP
Punganuru,4017,AP
Puttaparthi,4017,AP
Puttur,4017,AP
Rajahmundry,4017,AP
Ramachandrapuram,4017,AP
Ramanayyapeta,4017,AP
Ramapuram,4017,AP
Rampachodavaram,4017,AP
Rayachoti,4017,AP
Rayadrug,4017,AP
Razam,4017,AP
Razampeta,4017,AP
Razole,4017,AP
Renigunta,4017,AP
Repalle,4017,AP
Salur,4017,AP
Samalkot,4017,AP
Sattenapalle,4017,AP
Singarayakonda,4017,AP
Sompeta,4017,AP
Srikakulam,4017,AP
Srisailain,4017,AP
Suluru,4017,AP
Tadepalle,4017,AP
Tadepallegudem,4017,AP
Tadpatri,4017,AP
Tanuku,4017,AP
Tekkali,4017,AP
Tirumala,4017,AP
Tirupati,4017,AP
Tuni,4017,AP
Uravakonda,4017,AP
vadlamuru,4017,AP
Vadlapudi,4017,AP
Venkatagiri,4017,AP
Vepagunta,4017,AP
Vetapalem,4017,AP
Vijayawada,4017,AP
Vinukonda,4017,AP
Visakhapatnam,4017,AP
Vizianagaram,4017,AP
Vizianagaram District,4017,AP
Vuyyuru,4017,AP
West Godavari,4017,AP
Yanam,4017,AP
Yanamalakuduru,4017,AP
Yarada,4017,AP
Along,4024,AR
Anjaw,4024,AR
Basar,4024,AR
Bomdila,4024,AR
Changlang,4024,AR
Dibang Valley,4024,AR
East Kameng,4024,AR
East Siang,4024,AR
Hayuliang,4024,AR
Itanagar,4024,AR
Khonsa,4024,AR
Kurung Kumey,4024,AR
Lohit District,4024,AR
Lower Dibang Valley,4024,AR
Lower Subansiri,4024,AR
Margherita,4024,AR
Naharlagun,4024,AR
Pasighat,4024,AR
Tawang,4024,AR
Tezu,4024,AR
Tirap,4024,AR
Upper Siang,4024,AR
Upper Subansiri,4024,AR
West Kameng,4024,AR
West Siang,4024,AR
Ziro,4024,AR
Abhayapuri,4027,AS
Amguri,4027,AS
Badarpur,4027,AS
Baksa,4027,AS
Barpathar,4027,AS
Barpeta,4027,AS
Barpeta Road,4027,AS
Basugaon,4027,AS
Bihpuriagaon,4027,AS
Bijni,4027,AS
Bilasipara,4027,AS
Bokajan,4027,AS
Bokakhat,4027,AS
Bongaigaon,4027,AS
Cachar,4027,AS
Chabua,4027,AS
Chapar,4027,AS
Chirang,4027,AS
Darrang,4027,AS
Dergaon,4027,AS
Dhekiajuli,4027,AS
Dhemaji,4027,AS
Dhing,4027,AS
Dhubri,4027,AS
Dibrugarh,4027,AS
Digboi,4027,AS
Dima Hasao District,4027,AS
Diphu,4027,AS
Dispur,4027,AS
Duliagaon,4027,AS
Dum Duma,4027,AS
Gauripur,4027,AS
Goalpara,4027,AS
Gohpur,4027,AS
Golaghat,4027,AS
Golakganj,4027,AS
Goshaingaon,4027,AS
Guwahati,4027,AS
Haflong,4027,AS
Hailakandi,4027,AS
Hajo,4027,AS
Hojai,4027,AS
Howli,4027,AS
Jogighopa,4027,AS
Jorhat,4027,AS
Kamrup,4027,AS
Kamrup Metropolitan,4027,AS
Karbi Anglong,4027,AS
Karimganj,4027,AS
Kharupatia,4027,AS
Kokrajhar,4027,AS
Lakhimpur,4027,AS
Lakhipur,4027,AS
Lala,4027,AS
Lumding Railway Colony,4027,AS
Mahur,4027,AS
Maibong,4027,AS
Makum,4027,AS
Mangaldai,4027,AS
Mariani,4027,AS
Moranha,4027,AS
Morigaon,4027,AS
Nagaon,4027,AS
Nahorkatiya,4027,AS
Nalbari,4027,AS
Namrup,4027,AS
Nazira,4027,AS
North Guwahati,4027,AS
North Lakhimpur,4027,AS
Numaligarh,4027,AS
Palasbari,4027,AS
Raha,4027,AS
Rangapara,4027,AS
Rangia,4027,AS
Sapatgram,4027,AS
Sarupathar,4027,AS
Sibsagar,4027,AS
Silapathar,4027,AS
Silchar,4027,AS
Soalkuchi,4027,AS
Sonari,4027,AS
Sonitpur,4027,AS
Sorbhog,4027,AS
Tezpur,4027,AS
Tinsukia,4027,AS
Titabar,4027,AS
Udalguri,4027,AS
Amarpur,4037,BR
Araria,4037,BR
Arrah,4037,BR
Arwal,4037,BR
Asarganj,4037,BR
Aurangabad,4037,BR
Bagaha,4037,BR
Bahadurganj,4037,BR
Bairagnia,4037,BR
Baisi,4037,BR
Bakhtiyarpur,4037,BR
Bangaon,4037,BR
Banka,4037,BR
Banmankhi,4037,BR
Bar Bigha,4037,BR
Barauli,4037,BR
Barh,4037,BR
Barhiya,4037,BR
Bariarpur,4037,BR
Baruni,4037,BR
Begusarai,4037,BR
Belsand,4037,BR
Bettiah,4037,BR
Bhabhua,4037,BR
Bhagalpur,4037,BR
Bhagirathpur,4037,BR
Bhawanipur,4037,BR
Bhojpur,4037,BR
Bihar Sharif,4037,BR
Bihariganj,4037,BR
Bikramganj,4037,BR
Birpur,4037,BR
Bodh Gaya,4037,BR
Buxar,4037,BR
Chakia,4037,BR
Chapra,4037,BR
Chhatapur,4037,BR
Colgong,4037,BR
Dalsingh Sarai,4037,BR
Darbhanga,4037,BR
Daudnagar,4037,BR
Dehri,4037,BR
Dhaka,4037,BR
Dighwara,4037,BR
Dinapore,4037,BR
Dumra,4037,BR
Dumraon,4037,BR
Fatwa,4037,BR
Forbesganj,4037,BR
Gaya,4037,BR
Ghoga,4037,BR
Gopalganj,4037,BR
Hajipur,4037,BR
Hilsa,4037,BR
Hisua,4037,BR
Islampur,4037,BR
Jagdispur,4037,BR
Jahanabad,4037,BR
